date,score,user_tags,user_rank,usage_duration,item_option,text_review,recommendation_score,발색력,지속력,발림성,수분감
2025.02.23,5점만점에 2점,"지성, 여름쿨톤, 모공, 미백",,한달이상사용,[옵션] [올리브영단독]베어그레이프,"왜 단종시켰는지 이해가 안가요 ..

리뉴얼 된 버전은 색도 달라지고 양은 줄고 가격은
올라가고 .. 제가 산 리뉴얼 된 제품들 중에
왜 리뉴얼했는지 제일 이해 안가는 제품이에요",16,보통이에요,보통이에요,보통이에요,보통이에요
2025.03.14,5점만점에 1점,"복합성, 가을웜톤, 다크서클, 모공",,,[옵션] [올리브영단독]02 누카다미아,"배송 상태 진짜 너무해요..
상자 다 찢어졌는데 테이프 하나만 찍 붙혀져있고 밑에 구멍이 크게 나있는데...ㅋㅋ결국 제 틴트는 배송중에 실종...^^
홈페이지엔 배송 완료 떠있는데...^^ 제가 받은건 없..ㅋㅋ
올리브영에 문의 넣었더니 사진 보고 바로 재배송 해주시긴 했지만 배송 상태 진짜 신경 좀 써주세요..ㅜ",0,보통이에요,보통이에요,보통이에요,보통이에요
2025.03.05,5점만점에 2점,"복합성, 여름쿨톤, 모공",,,[옵션] [기획세트] 03 베어 그레이프,"리뉴얼되고 색상이 달라졌다는 후기들을 보면서도
뭐 얼마나 달라졌겠어.. 했던 과거의 눈치 없던 저를 말리고 싶어요.
손등 발색으론 회끼도 보이고 뮤트해보이는데 막상 입술 위에 올리면 베이지 로즈 느낌이 납니다. 정말 뉴트럴해요.
기존의 회끼도는 오묘한 채도 있는 쿨한 로즈가 아니에요.. 손등 발색은 너무 미묘해서 차이가 안 보이는게 너무 억울할 정도..
미지근한 로즈 컬러를 뽑고 싶었으면 다른 컬러로 출시했으면 됐잖아요… 왜 기존 베어그레이프를 굳이 변모시켰는지 이해가 안 갑니다. 기획 레어 컬러도 라이트해서 당황함. 베어그레이프 기획이래서 당연히 쿨하거나 뮤트할줄..",5,다소 아쉬워요,보통이에요,보통이에요,보통이에요
2025.03.01,5점만점에 1점,"트러블성, 여름쿨톤, 각질, 모공",,,[옵션] [올리브영단독]01 포멜로 스킨,"❌촉촉하지도 않고 가벼운 글로우한 텍스처

❌사진처럼 탱글거리는 텍스처 절대 아님.

❌발색샷과 실제 발색 너무 다름...

다른 립과 믹싱하기도 애매한 그런 촉촉틴트.. 롬앤 글래스팅 컬러 글로스 4컬러나 가지고 있을만큼 롬앤 립 진~짜 좋아하는데 이건 너무너무너무 실망이에요 ㅠ 세일기간때 샀다만 다*소에서 파는 틴트보다 더 별로라서 걍 쳐박템될듯.. ...",1,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요
2025.03.09,5점만점에 1점,"건성, 여름쿨톤, 다크서클, 블랙헤드",,,[옵션] 28 설화 딸기,색이 진짜.. 애매해요… 너무 아쉽습니다 ㅠ ㅠ 설향딸기라며…,0,다소 아쉬워요,예상보다 짧아요,아주 만족해요,보통이에요
2025.04.02,5점만점에 2점,"건성, 여름쿨톤, 다크서클, 모공",,한달이상사용,[옵션] 27 허니 듀 멜론,모리걸 st… 라고 바이럴 되길래 구매했는데 공홈 발색이랑 너무 다르고 착색은 어둡고 빨간 빛으로 착색되어서… 너므 아쉬워요 차라리 립글로즈로 나와서 착색 없었으면 더 예뻤을 것 같아요 ㅜㅜ 설화딸기도 있고 피치피치미도 있는데 하나같이 착색 안 예쁘고 공홈이랑 색 아예 다르구 너므 실망스러운… 🥺,0,보통이에요,예상보다 짧아요,보통이에요,보통이에요
2025.03.30,5점만점에 2점,"복합성, 쿨톤, 다크서클, 모공",,한달이상사용,[옵션] [올리브영단독]06 필링 앵두,촉촉하고 여리여리하게 발려서 만족인데 아쉬운점은 지속력이랑 묻어나온다는 점이에요 앞니에 계속 묻어서 웃기가 두려울정도에요..주름부각 없는 점은 맘에 들고 어두운 계열 베이스로 깔아주고 그 위에 이거 얹어주면 자연스러운 수채화 발색 나와요,0,아주 만족해요,예상보다 짧아요,보통이에요,아주 촉촉해요
2025.03.27,5점만점에 1점,"복합성, 여름쿨톤, 모공, 미백",,,[옵션] [기획세트] 23 피치 피치 미,"하아.... 솔직히 말할게요
피치피치미는 다O소 3천원짜리 봄셋 핑크워터랑 같은 색임!!

그리고 같이 온 증정이 자두빛 아니에요.
쿨빛은 맞는 데 형광핑크임

이미지 컬러랑 너무 다르잖아요 ㅠ
이렇게까지 색이 다른건 오바지.....

눈물을 머금고 구입 후회하는 중",0,다소 아쉬워요,보통이에요,다소 아쉬워요,보통이에요
2025.02.09,5점만점에 1점,,,한달이상사용,[옵션] [단품]23 피치 피치 미,"진짜 리뉴얼 왜 한건지 의문
기존 잘나가고있던 색들도 미미하게 바뀌고 뉴컬러들도 죄다 착색이 핑크~빨강으로 남아서 진짜 아쉬움
그리고 리뉴얼 전보다 더 빨리 건조해지고 시간 지날수록 어두워짐
글로시 틴트 = 롬앤 이였는데 리뉴얼 후 바뀐듯..",12,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,매트해요
2025.04.04,5점만점에 1점,,,한달이상사용,[옵션] [어워즈한정기획] 03 베어 그레이프,제 인생템인데 리뉴얼되고 나서 엄청 안 좋아졌어요 발림성 색상 지속력 다 구려졌어요 중고에서 구버전 사서 쓰고있어요,0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,아주 촉촉해요
2025.03.25,5점만점에 2점,"건성, 가을웜톤, 모공, 탄력",,한달이상사용,[옵션] [단품]03 베어 그레이프,으악 용량 줄어든 거 너무 실감나요 ㅜ 예전에 쓰던 기간보다 짧게 썼는데 벌써 동났어요 ;; 진짜 열 번은 썼으려나.. 황당할 지경이네요 ㅜㅜ 가격은 비슷하면서 용량을 거의 반을 줄이다니 ㅠㅠ 사용감도 예전처럼 도톰탱글하지 않고 얇게 발려서 전 좀 별로예요 ㅠ 이제 롬앤 안쓸랍니다,0,아주 만족해요,보통이에요,보통이에요,아주 촉촉해요
2025.03.25,5점만점에 2점,"건성, 가을웜톤, 모공, 탄력",,한달이상사용,[옵션] [올리브영단독]01 포멜로 스킨,으악 용량 줄어든 거 너무 실감나요 ㅜ 예전에 쓰던 기간보다 짧게 썼는데 벌써 동났어요 ;; 진짜 열 번은 썼으려나.. 황당할 지경이네요 ㅜㅜ 가격은 비슷하면서 용량을 거의 반을 줄이다니 ㅠㅠ 사용감도 예전처럼 도톰탱글하지 않고 얇게 발려서 전 좀 별로예요 ㅠ 이제 롬앤 안쓸랍니다,0,아주 만족해요,보통이에요,보통이에요,아주 촉촉해요
2025.02.25,5점만점에 1점,,,,[옵션] [단품]03 베어 그레이프,"아 진짜 올리브영 직원이면 똑바로 추천해든가 봄웜이라서 웜톤 색 추천해달라고 하니까 쿨톤색 추천해주던데요.
지금 산 지 얼마 안되었는데 너무 분하고 짜증나요. 어떻게 착각이든 뭐든 고객한테 이게 맞나요? 일 제대로 했으면 좋겠네요. 그 직원때문에 제가 한번 더 사야하잖아요. 셰일해도 비싸덴.. 다들 웜톤 쿨톤 그냥 직접 검색하고 가보는게 나을 것 같아요! 직원들 이제 못 믿겠네요.
올영 알바도 아무나 잘 안하는데 신입이어도 좀 빨리 숙지했으면 하네요. 색깔 티도 잘 안나네요. 하",1,보통이에요,보통이에요,보통이에요,보통이에요
2025.03.25,5점만점에 2점,,,한달이상사용,[옵션] [단품]23 피치 피치 미,하 이게 머임.. 색도 실망이고 지속력은 말 할 것도 없음요..,0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,아주 촉촉해요
2025.03.02,5점만점에 2점,,,,[옵션] 30 보늬 밤,"롬앤 틴트는 입술에 자극도 있고 향도 별로고 맛도 별로….
보늬밤색상은 올영에만 있길래 구매했는데 입술에
올리면 브라운 끼 절대 없어요 아몬드 로즈 색상이랑 거의 같아요 매장에서 테스트 후 구매하세요..!",8,다소 아쉬워요,보통이에요,보통이에요,아주 촉촉해요
2025.04.05,5점만점에 1점,,,한달이상사용,[옵션] 26 신비 복숭아,"처음엔 촉촉하게 발리지만, 시간이 얼마 지나지않을 때 건조함이 확 올라와요.. 이름과는 다르게 실망이에요",0,다소 아쉬워요,보통이에요,다소 아쉬워요,매트해요
2025.04.05,5점만점에 1점,,,한달이상사용,[옵션] 29 조선 무화과,"처음엔 촉촉하게 발리지만, 시간이 얼마 지나지않을 때 건조함이 확 올라와요.. 이름과는 다르게 실망이에요",0,보통이에요,보통이에요,다소 아쉬워요,매트해요
2025.03.18,5점만점에 2점,"지성, 가을웜톤, 모공, 블랙헤드",,한달이상사용,[옵션] 17 다크 코코넛,쥬시 래스팅 틴트 고유의 향이 정말 멀미나고 싫습니다.. 리뉴얼됐다고해서 기대했는데 향이 그대로 입니다. 그리고 입술 주름이 많으신 분들은 베이스로 다른 립스틱이나 제품을 바르고 포인트로 발라야할 것 같습니다. 그냥 바르면 예쁘게 발리지도 않아요ㅜㅜ 착색도 각질많은데에만 진하게 되어서 베이스는 필수인것같습니다.,0,보통이에요,예상보다 짧아요,보통이에요,아주 촉촉해요
2025.02.25,5점만점에 1점,,,,[옵션] 04 피그 피그,"위 : 리뉴얼 후, 아래: 구버전
완전 다른 색임;; 조명차이 아니고 색감 잘 잡으려고 실제 색과 가깝게 찍은 것.
기존 컬러보다 더 빨갛고, 채도가 높고, 착색 완전 쨍한 핑크…
피그피그만의 딥하면서도 예쁜 장밋빛이 아님….
광 리뉴얼 1도 안되었고 오히려 이 틴트는 이제 글로시립이라고 보기가 어려워진 것 같음
이제 쥬시레스팅 구매는 없을듯",2,다소 아쉬워요,지속이 오래돼요,보통이에요,보통이에요
2025.02.07,5점만점에 2점,,,,[옵션] [단품]03 베어 그레이프,"피그 피그를 너무 잘 쓰고 있어서, 인기 상품인 베어 그레이프도 구매해 봤는데, 발색이 이도저도 아닌 너~~~~무 흐린 무트톤의 핑크라서 같아서 후회됩니다ㅠ 화장 안 한 것 같이 꾸안꾸 느낌으로 메이컵 원하시는 분께는 괜찮을지도요..ㅡㅡ;;;",0,다소 아쉬워요,예상보다 짧아요,보통이에요,보통이에요
2025.03.02,5점만점에 1점,,,,[옵션] [기획세트] 23 피치 피치 미,"제품은 아는거라 뭐
근데 새거 맞음? 새거 맞아여?
새거가 맞는교? 왜 어째서?
어째서 돌리는 곳에 얇은 머리카락이 ㅠ
제조공정에서 들어간 거겠징? 그런거겠징?",6,보통이에요,보통이에요,보통이에요,보통이에요
2025.03.30,5점만점에 2점,,,,[옵션] [기획세트] 03 베어 그레이프,"그러니까 나는 이제품에 달린 해시태그가 두겹광택이라는 사실을 믿기 어려웠던 것 같아.
두겹광택은 무슨 바르고 금방 광택 다 날라가요

(광택감 보여주려고 덧바른 거라 컬러는 참고X)
첫번째가 지금 막 바른거
두번째가 바르고 한 시간 후

말 많이 하거나 뭐 먹어서 사라지는 거 아니고 그냥 바르고 30분만 있으면 광택 다 날라가고
지금까지 글로우립 제법 많이 써봤는데 이렇게 건조하게 광택 날라가는 립은 처음이에요

그리고 컬러도 왜이러는지 모르겠어요........
인간적으로 리뉴얼 하면서 색은 건들지 맙시다",0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,매트해요
2025.03.15,5점만점에 1점,,,,[옵션] [기획세트] 03 베어 그레이프,예민하신분은 절대 쓰지마세요. 이거쓰고 입술 다뒤집어지고 진물나고 난리났습니다… 작년부터 패키지 리뉴얼전부터 썼는데 계속 입술가렵고 피부과가서 좀 나았는데 컨디션좋을때 입술에 발랐는데도 그러길래 알아보니 이 립스틱이 원인이었어요.!다른 어플에서 보니가 알레르기 성분 2개나 있더라구요. 색은 이쁜데 성분이ㅜㅠㅠ,4,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,매트해요
2025.03.02,5점만점에 2점,"건성, 겨울쿨톤, 다크서클, 트러블",,,[옵션] 16 플럼 콕,"롬앤은....어째서 리뉴얼을 하였는가? 통만 바꾸지.. 통 바꾸면서 양도 적어지고 색도 바뀌고 무엇하는겐가
아 예전 플럼콕 정말 좋았는데....걍 입술이 썩든 말든 예전 플럼콕을 쓰갰습니다 제발원래색다시돌려주세요
색이 예전보다 검은 색이 좀 빠진 것 같아요 걍 체리색이됨
그리고 쥬시래스팅은 바르면 나중에 입술이 쪼글쪼글해지면서 너무 건조해져요 냄새는 사람마다 다르겠지만 전 너무 불호입니다..굳이 이 냄새를 참으며 플럼콕을 바를 이유가 사라짐

사진은 왼쪽이 (신)플럼콕, 오른쪽이 (구)플럼콕입니다.",4,다소 아쉬워요,보통이에요,다소 아쉬워요,보통이에요
2025.02.28,5점만점에 1점,,,한달이상사용,[옵션] [올리브영단독]02 누카다미아,사실 롬앤의 제품력에 대해 의문을 가진 적도 많고 가지고 있는 기술에 비해 너무 높은 자리에 있다는 생각이 드네요... 도대체 이게 왜 유명한지도 모르겠고 ㅋㅋ 리뉴얼은 왜 하신 거에요...? 진짜 궁금해서 그래요... 듀이풀 워터틴트도 그렇고 입술 아프게 조여오는거 진짜 리스펙합니다,1,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,매트해요
2025.03.02,5점만점에 1점,,,,[옵션] 09 멀드 피치,"리뉴얼되고 좋아하는 느낌 다 사라짐 질감이나 광택이나 색감이나.. 특히 멀드 피치 색감 이상함
흔하디 흔한 틴트1된느낌",0,다소 아쉬워요,보통이에요,보통이에요,보통이에요
2025.02.15,5점만점에 1점,"지성, 가을웜톤, 모공, 미백",,재구매,[옵션] [올리브영단독]01 포멜로 스킨,"뭐죠 왜 이런게 같이 붙어서 오나요
개봉하자마자 기분 팍 상하네요
어떻게 하면 저 털이 같이 나올 수가 있나요
실망입니다",0,보통이에요,보통이에요,보통이에요,보통이에요
2025.04.03,5점만점에 2점,,,,[옵션] 29 조선 무화과,"발림성이너무 가볍고 발색도 별루예요
틴트가 거의 물느낌 입니다",0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,매트해요
2025.03.30,5점만점에 1점,,,,[옵션] [올리브영단독]01 포멜로 스킨,"한 번 썼는데 뚜껑이 안 열려요... 뜨거운 물에 담가보고 고무장갑으로 열어보고 별난리 다 쳤는데도 안 열리네요
찾아보니까 이런 분들 한두분 아니시던데 ㅠ 심지어 구버전부터 계속 이런 사례 있던데 이게 맞나요???......",0,보통이에요,보통이에요,보통이에요,보통이에요
2025.03.18,5점만점에 1점,,,,[옵션] 27 허니 듀 멜론,"이 틴트쓰고 입술에 구순염이 너무 심하게 나서 병원다니고 있어요..
인터넷 검색해보니 저와 같은 증상 있으신 분들이 많은 거 같은데 립제품 만드실 때 성분도 고려해서 만들어주셨으면 좋겠습니다.",1,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,아주 촉촉해요
2025.03.11,5점만점에 1점,,,,[옵션] [기획세트] 23 피치 피치 미,"광고 내용과 많이 다릅 니다 비 추천 발림성은 나쁘진 않지만 발색력이 약함
전혀 촉촉하지 않고 아주 매트함",1,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,매트해요
2025.04.04,5점만점에 2점,,,,[옵션] 28 설화 딸기,이거 어떻게 발라야 예쁠까요? 롬앤에서 아주 오랜만에 신상 틴트 나왔다길래 파워 여쿨인 저는 기대를 정말 많이 했는데요 기대보다 실망이 컸습니다 생각보다 너무 어둡고 죽은 보라색 같달까요? 손가락으로 발라야 예쁘다길래 그렇게도 발라봤는데 전혀 모르겠어요ㅠ 생기있는 여쿨 틴트가 나오길..,0,다소 아쉬워요,보통이에요,보통이에요,아주 촉촉해요
2025.04.06,5점만점에 1점,"지성, 여름쿨톤, 다크서클, 모공",,한달이상사용,[옵션] 28 설화 딸기,항상 재구매하는 제품입니다 휘뚜루마뚜루 잘 쓰고 있어요 ㅎㅎ,0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요
2025.04.04,5점만점에 2점,"트러블성, 쿨톤, 모공, 잡티",,한달이상사용,[옵션] 28 설화 딸기,"페일톤이나 겨우 쓸컬러
베이스립이라기엔 밀착력이 별로고 컬러도 너무 연하고
겨쿨이시면 사지마세요 진짜 돈 아까움",0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요
2025.03.22,5점만점에 2점,,,,[옵션] [기획세트] 03 베어 그레이프,리뉴얼 전이 낫다는 말만 들었는데 막상 써보니 진짜였네요 뮤트로 완전 기운 너낌,0,보통이에요,보통이에요,보통이에요,보통이에요
2025.03.16,5점만점에 2점,"복합성, 겨울쿨톤",,,[옵션] [기획세트] 03 베어 그레이프,"뭐 재구매기도 하고, 컬러야 다른 분들이 많이 잘 보여주셔서 할 말 없는데 증정 사이즈가..ㅋㅋ..ㅋㅋㅋ 한 2번 바르면 끝나겠는데요 타사 샘플에 반정도,, 짜네요 🧂",0,보통이에요,예상보다 짧아요,보통이에요,보통이에요
2025.02.14,5점만점에 1점,,,한달이상사용,[옵션] [단품]23 피치 피치 미,"발림성은 괜찮은데 다크닝 심하네요
손등 발색해보고 3가지 구매했는데 하나도 안쓰고 있어요",1,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요
2025.02.14,5점만점에 1점,,,한달이상사용,[옵션] [어워즈한정기획] 03 베어 그레이프,"발림성은 괜찮은데 다크닝 심하네요
손등 발색해보고 3가지 구매했는데 하나도 안쓰고 있어요",0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요
2025.02.14,5점만점에 1점,,,한달이상사용,[옵션] [단품] 20 쥬쥬 피그,"발림성은 괜찮은데 다크닝 심하네요
손등 발색해보고 3가지 구매했는데 하나도 안쓰고 있어요",0,다소 아쉬워요,예상보다 짧아요,아주 만족해요,보통이에요
2025.04.05,5점만점에 2점,"중성, 여름쿨톤, 각질, 다크서클",,한달이상사용,[옵션] 07 체리 밤,"유명한 제품이지만 전 항상 리뉴얼 전이나 후나
잘 맞지않네요 ㅜㅠㅠㅠ 촉촉함이 오래 가지 않고
얼룩져요",0,보통이에요,예상보다 짧아요,보통이에요,보통이에요
2025.04.03,5점만점에 2점,"민감성, 봄웜톤, 블랙헤드",,,[옵션] [기획세트] 23 피치 피치 미,색감도 잘 안 잡히고 너무 빨리 색이 사라져서 별로인 거 같습니다,0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요
2025.04.03,5점만점에 1점,"복합성, 쿨톤, 각질, 다크서클",,,[옵션] 27 허니 듀 멜론,이제 롬앤이랑은 솔절 ㅃㅃ 할거임 쥬시레스팅 왜 사람들이 조아하는지 모르겠음 상세랑 샼차임 너무나고 착색이 다 쿨톤으로 됨,0,다소 아쉬워요,지속이 오래돼요,다소 아쉬워요,보통이에요
2025.04.02,5점만점에 1점,"민감성, 쿨톤, 다크서클, 잡티",,,[옵션] 15 베어 피그,"너무 좋아요 다들 사세요 좋습니다 얼른 사세요
가성비가 굿이예요",0,아주 만족해요,지속이 오래돼요,아주 만족해요,아주 촉촉해요
2025.03.07,5점만점에 1점,,,,[옵션] [기획세트] 03 베어 그레이프,베어그레이프만 몇통째 사용중인데 이전 용기는 항상 새는게 더 많았는데 색상이 마음에 들어서 계속 쓰고있었습니다. 리뉴얼되고 나서 새어나오는 양은 줄었지만 용량이 줄고 지속력도 짧아 금방 사라집니다. 그리고 제일 중요한 색상이 달라졌습니다. 더 웜해졌어요. 리뉴얼 되기전에 쟁여 놓을걸 그랬습니다. 다시 틴트 유목민이 되었네요. 이전버전 색상 그대로 다시 돌려주세요…,2,다소 아쉬워요,예상보다 짧아요,보통이에요,보통이에요
2025.03.29,5점만점에 1점,"복합성, 쿨톤, 각질, 다크서클",,,[옵션] [기획세트] 03 베어 그레이프,베어그레이프 전에 쓰던것과 색깔 달라진게..너무 충격이였습니다..겉에 디자인 바뀐건 너무 이쁘지만..전에..색깔로..돌아와줬우면 ㅠㅠ,0,보통이에요,보통이에요,보통이에요,보통이에요
2025.04.01,5점만점에 2점,,,한달이상사용,[옵션] 28 설화 딸기,입술에 너뮤 이상한 색으로 올라와요.. 착색도 이상하게 심해서 별로ㅠㅠㅠㅠ,0,보통이에요,보통이에요,보통이에요,보통이에요
2025.03.02,5점만점에 2점,,,한달이상사용,[옵션] 24 베어 쥬시 오,"처음에 쓸 땐 컬러가 예뻐서 눈막한 것 같아요..^^
리뉴얼 전보다 촉촉한 연출이 확 줄어들었고, 요플레 현상이 극심합니다? 도톰하게 얹히던 거에 비해서 너무 얇게 양이 나와서 이게 양도 줄었나 바로 느껴지더라고요. 컬러가 예뻐서 오랜만에 구매한 건데 롬앤 재구매는 없을 것 같습니다.. 안녕...ㅜㅜ",0,다소 아쉬워요,예상보다 짧아요,다소 아쉬워요,보통이에요
2024.11.07,5점만점에 2점,"지성, 여름쿨톤",,,[옵션] [올리브영단독]베어그레이프,"하 진짜….. 기존 거 왜 단종시키신 거예요 진심 이해할 수 없어요 양은 줄이고 가격은 올리고 큐앤에이 답변은 달고 싶은 것만 걸러서 다시고…….ㅋㅋㅋ
기존 베어그레이프가 역시 짱이네요 왜 단종인지 모를 정도
리뉴얼된 버전은 걍 흔한 탕후루 광 같은 틴트예요 기존 특유의 물먹?한 느낌 없어짐… 색상도 미묘하게 달라요",999+,아주 만족해요,지속이 오래돼요,아주 만족해요,아주 촉촉해요
2025.03.16,5점만점에 2점,,,한달이상사용,[옵션] 11 파파야 잼,진짜 별로에요 색은 예쁘나 지속력도 짧고 완전 빨리 건조해져요 립밤 없으면 못 바를 듯,0,보통이에요,예상보다 짧아요,다소 아쉬워요,보통이에요
